track_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,emotion
5iZJUkqUNlSCpOkCCePMKU,0.00034,0.419,0.734,0.0113,0.0658,-6.941,0.0302,145.799,0.143,0
305WCRhhS10XUcH6AEwZk6,0.00117,0.606,0.957,0.000295,0.14,-3.404,0.0814,105.105,0.603,0
6ZxrUCaynLgKSUudACOTwj,6.06e-05,0.451,0.815,0.0,0.27,-5.55,0.0368,147.974,0.618,0
5DooySfCD1xCJ49gQm9rx7,0.00318,0.559,0.931,1.24e-05,0.0624,-5.863,0.0721,90.911,0.644,0
4UEo1b0wWrtHMC8bVqPiH8,0.000318,0.554,0.949,9.98e-05,0.2,-4.928,0.0787,129.984,0.233,0
2SgbR6ttzoNlCRGQOKjrop,0.00437,0.415,0.908,0.0345,0.082,-9.701,0.0765,114.816,0.437,0
61mWefnWQOLf90gepjOCb3,0.000237,0.354,0.982,0.000294,0.204,-3.026,0.168,143.772,0.194,0
7kF1iPJTj3VFJX9XokQ80F,0.000266,0.478,0.974,0.096,0.0738,-3.866,0.102,141.082,0.275,0
3RAFcUBrCNaboRXoP3S5t1,0.00269,0.568,0.981,0.00275,0.0243,-3.889,0.0887,135.146,0.307,0
0hTiTU0yqthnByyZDD3bcc,0.00075,0.374,0.903,5.85e-06,0.244,-4.49,0.0825,109.118,0.429,0
5ih5herXfvp5coBVFhmoAW,3.4e-05,0.473,0.942,0.0375,0.0627,-2.698,0.0785,173.527,0.75,0
4eNnMvUrSu2TRpySjVC0Pv,0.000137,0.52,0.975,0.826,0.42,-4.421,0.0583,154.058,0.329,0
40UZ85suwIhop8bJbVwkOg,0.00108,0.598,0.939,0.000103,0.201,-3.001,0.0446,97.995,0.42,0
2UDumaw7osnyjH7RZ2DLpB,1.29e-05,0.402,0.97,2.62e-06,0.189,-4.538,0.0668,75.106,0.476,0
2F6FfZ4w8z3eJpSxPotVO5,0.00014,0.468,0.769,0.00124,0.271,-7.036,0.041,104.102,0.17,0
5ugzDiilhy6ILKmKfhEzd7,0.0172,0.587,0.99,0.000668,0.104,-4.496,0.0783,127.992,0.486,0
7lmeHLHBe4nmXzuXc0HDjk,0.0261,0.47,0.978,1.09e-05,0.356,-5.399,0.0727,117.906,0.503,0
2yXyz4NLTZx9CLdXfLTp5E,0.000165,0.533,0.955,1.36e-05,0.38,-3.708,0.0653,107.984,0.55,0
5bU4KX47KqtDKKaLM4QCzh,0.00169,0.657,0.96,0.000997,0.109,-3.524,0.07,126.02,0.567,0
5F29kjOr9bYTUtSPLoixHB,0.00286,0.455,0.809,0.000296,0.0998,-5.845,0.0521,76.036,0.237,0
5Raz1bgliM4doMnDaOyElV,1.38e-05,0.387,0.866,0.129,0.161,-5.336,0.0346,142.35,0.463,0
51Vic2Yi71YKNtLbyJKgQt,0.000206,0.534,0.929,5.58e-05,0.036,-3.609,0.047,122.733,0.447,0
575Sz3R4xOhueUstPObylF,0.00308,0.444,0.913,0.0,0.38,-3.452,0.0992,163.689,0.569,0
3asFGFY3uLjMDmML1p0tYm,0.0015,0.339,0.931,0.000142,0.425,-3.425,0.062,112.545,0.467,0
59TLlOD6sH4cCTSF6ITRkA,0.000127,0.467,0.865,0.000339,0.088,-4.158,0.0351,91.447,0.328,0
1UREw2MCfU0xwBzCAjxlUD,0.0948,0.384,0.921,0.0,0.168,-3.334,0.055,89.922,0.471,0
4OSbctVD37ycS0H3rwRm72,0.00165,0.2,0.977,1.1e-05,0.259,-3.494,0.159,195.711,0.39,0
1Qdnvn4XlmZANCVy3XjrQo,0.000336,0.433,0.854,0.000177,0.162,-3.868,0.0483,89.4,0.368,0
0faXHILILebCGnJBPU6KJJ,7.13e-05,0.392,0.964,0.0387,0.106,-4.441,0.0644,167.024,0.269,0
4urxRqBRiaH0i20OKBsgxc,0.000666,0.578,0.897,0.0,0.0924,-3.906,0.0357,115.491,0.737,0
4a9i7rCLfPjbS1sNamZeQN,7.19e-05,0.543,0.808,0.00336,0.114,-5.484,0.0407,95.19,0.472,0
42ZVk59gT4tMlrZmd8Ijxf,0.000209,0.429,0.966,0.124,0.371,-4.605,0.0733,179.956,0.525,0
4Yf5bqU3NK4kNOypcrLYwU,0.127,0.554,0.98,0.0,0.0833,-3.514,0.108,135.12,0.611,0
7Ml1vXT6LaH34jVBGYygWY,6.13e-05,0.406,0.932,0.0,0.053,-3.386,0.0935,130.077,0.29,0
4eTIe5eqds88bA9ua6p5p6,0.00049,0.442,0.855,0.0137,0.273,-2.985,0.0288,175.543,0.363,0
1SpjTDqWwEMche6JR9iOYz,9.31e-06,0.376,0.963,0.92,0.343,-2.99,0.0783,159.886,0.507,0
0FnugIN4Slm0weQqL8OXEM,0.000249,0.667,0.855,0.0479,0.0888,-3.088,0.0335,113.99,0.868,0
0UGsSjbp8vhm8QfNOIdmMy,0.000306,0.388,0.943,0.0,0.168,-2.927,0.104,154.721,0.162,0
55mJleti2WfWEFNFcBduhc,0.0012,0.567,0.714,0.417,0.186,-8.512,0.0302,107.441,0.191,0
0Yfpc5zHc9pElVCQ1bPlF4,0.000312,0.402,0.73,0.323,0.103,-9.327,0.0455,104.527,0.296,0
0INUE1K7cEiE8VH63Rv5RJ,0.000823,0.546,0.97,2.08e-05,0.275,-2.661,0.097,100.065,0.383,0
1Y13csEpu3TK5gQdzGLrd8,0.00114,0.579,0.812,0.00333,0.115,-6.509,0.0693,152.002,0.278,0
1sjrDQXqAa9V07FjKIlAQ4,0.000144,0.301,0.823,0.000309,0.0833,-4.072,0.0433,152.017,0.372,0
1dx9FK2w7DxMyKnPcBeptQ,7.42e-06,0.471,0.975,0.0,0.324,-2.087,0.0765,102.936,0.235,0
1pCQpsWJDoiBCSy5o6cvQT,0.000848,0.391,0.949,4.12e-06,0.058,-2.237,0.16,100.008,0.188,0
6aF5JtQSrh7wNrkDE9B0My,0.00132,0.56,0.903,0.0,0.291,-4.77,0.0754,143.821,0.581,0
3a9urnht8HvfFzPwd0ipx6,7.6e-05,0.369,0.995,0.00589,0.241,-2.584,0.12,185.985,0.27,0
3ENHpbTuY72FukZbwGP6bc,0.00055,0.611,0.648,0.0028,0.0846,-4.579,0.0441,132.983,0.457,0
1yo3kUDbRC60FCroxINeJQ,1.6e-05,0.387,0.983,0.66,0.267,-2.769,0.068,170.075,0.443,0
5mpUKTdskZea0gStWzeHUZ,0.000118,0.427,0.946,0.0253,0.0604,-2.188,0.0469,101.305,0.237,0
0CwYG1UnRmOx8Q1EzElCIL,0.00107,0.46,0.796,0.0,0.106,-4.501,0.0333,100.011,0.182,0
2UREu1Y8CO4jXkbvqAtP7g,0.0431,0.64,0.957,0.0,0.0789,-2.336,0.0741,134.992,0.692,0
6Wx88Mv6b9ofjKMKkdwOJd,0.000235,0.493,0.808,0.0,0.0983,-3.365,0.0362,117.971,0.38,0
51c94ac31swyDQj9B3Lzs3,0.000249,0.269,0.853,0.000246,0.118,-4.647,0.0854,141.581,0.179,0
4QJLKU75Rg4558f4LbDBRi,8.67e-05,0.485,0.911,0.0,0.092,-5.749,0.0355,89.956,0.568,0
779ooI3rBd0CLqCiiJmtVo,0.00216,0.427,0.843,0.0,0.179,-4.54,0.0364,147.387,0.304,0
2cCWbBmadLbKvr9xddC79R,0.00304,0.598,0.808,0.0,0.147,-5.209,0.0388,128.025,0.288,0
5vRPXm59z8ewWO6WiJHg3m,0.0277,0.505,0.778,0.00275,0.115,-4.778,0.0398,140.493,0.284,0
43FQs7KUx1P1J7QvO6Fjhc,0.00248,0.458,0.702,0.334,0.118,-8.204,0.0323,122.451,0.666,0
5wBLDkxVvclanSitx5jq8e,0.0138,0.512,0.943,0.0,0.261,-5.185,0.106,163.128,0.485,0
0CA3RxBx2xSQXPfpmUBK1v,9.4e-06,0.373,0.737,0.0,0.0696,-5.282,0.0297,177.9,0.565,0
0LPx8WfsRrXCF92YtINFtN,0.00858,0.481,0.82,0.0,0.0756,-3.508,0.031,139.936,0.345,0
55KYlnsC6nYnr3IykbmJwE,0.000345,0.548,0.911,0.0,0.23,-3.701,0.0397,128.036,0.654,0
1Vej0qeQ3ioKwpI6FUbRv1,0.00022,0.524,0.939,0.0,0.623,-3.994,0.113,150.184,0.661,0
1gyee1JuFFiP476LQpRMYU,0.000671,0.509,0.843,0.000803,0.348,-3.318,0.0488,140.055,0.332,0
6dRAAG4sB71NAtVCHJep7s,0.000281,0.468,0.851,0.00483,0.0644,-3.617,0.0398,92.079,0.293,0
0nErfLIYBOb0DHE2jqAe6k,0.000145,0.671,0.934,1.81e-05,0.104,-4.496,0.0486,124.005,0.832,0
1x0AirtLjfVquI0A9iBVep,0.000116,0.564,0.968,3.97e-05,0.226,-3.75,0.0631,103.885,0.352,0
2gSVKxPDww9Eep5rdvtdem,0.02,0.577,0.864,1.71e-06,0.683,-3.981,0.0462,97.225,0.609,0
4BJyt25nburVwbnESDeIc7,0.00305,0.49,0.774,8.16e-05,0.12,-5.436,0.0604,153.048,0.297,0
6GtX0jaNL8IjVQfrDBx81z,5.59e-05,0.404,0.72,0.836,0.0466,-9.18,0.0623,121.864,0.475,0
14EORgkbXqIx5K4Haucmnb,0.000108,0.552,0.988,0.309,0.846,-2.555,0.0787,139.941,0.619,0
6nJPHXRpKYv2yqtalEjKy5,1.85e-05,0.498,0.905,0.765,0.383,-5.721,0.0521,123.338,0.584,0
1PJRDeZSoZk7gtisdTYfLi,0.000305,0.588,0.927,3.83e-05,0.195,-4.776,0.113,93.571,0.652,0
3UULkHdmLDqBDPmBYltoRE,9.33e-06,0.496,0.981,0.0,0.0958,-3.268,0.108,109.905,0.163,0
28D0Hfi6x9zAeGr1sDYBkb,0.841,0.265,0.255,0.138,0.247,-11.284,0.0358,116.572,0.11,1
3662ksoTSd52DjBVdcurcB,0.835,0.246,0.571,0.88,0.109,-14.169,0.0519,137.563,0.159,1
